Division	Category	Gene Symbol
Core matrisome	ECM Glycoproteins	LTBP1
Core matrisome	ECM Glycoproteins	LTBP2
Core matrisome	ECM Glycoproteins	LTBP3
Core matrisome	ECM Glycoproteins	LTBP4
Core matrisome	ECM Glycoproteins	MATN1
Core matrisome	ECM Glycoproteins	MATN2
Core matrisome	ECM Glycoproteins	MATN3
Core matrisome	ECM Glycoproteins	MATN4
Core matrisome	ECM Glycoproteins	MEPE
Core matrisome	ECM Glycoproteins	MFAP1
Core matrisome	ECM Glycoproteins	MFAP2
Core matrisome	ECM Glycoproteins	MFAP3
Core matrisome	ECM Glycoproteins	MFAP4
Core matrisome	ECM Glycoproteins	MFAP5
Core matrisome	ECM Glycoproteins	MFGE8
Core matrisome	ECM Glycoproteins	MGP
Core matrisome	ECM Glycoproteins	MMRN1
Core matrisome	ECM Glycoproteins	MMRN2
Core matrisome	ECM Glycoproteins	MXRA5
Core matrisome	ECM Glycoproteins	NDNF
Core matrisome	ECM Glycoproteins	NELL1
Core matrisome	ECM Glycoproteins	NELL2
Core matrisome	ECM Glycoproteins	NID1
Core matrisome	ECM Glycoproteins	NID2
Core matrisome	ECM Glycoproteins	NOV
Core matrisome	ECM Glycoproteins	NPNT
Core matrisome	ECM Glycoproteins	NTN1
Core matrisome	ECM Glycoproteins	NTN3
Core matrisome	ECM Glycoproteins	NTN4
Core matrisome	ECM Glycoproteins	NTN5
Core matrisome	ECM Glycoproteins	NTNG1
Core matrisome	ECM Glycoproteins	NTNG2
Core matrisome	ECM Glycoproteins	OIT3
Core matrisome	ECM Glycoproteins	OTOG
Core matrisome	ECM Glycoproteins	OTOL1
Core matrisome	ECM Glycoproteins	PAPLN
Core matrisome	ECM Glycoproteins	PCOLCE
Core matrisome	ECM Glycoproteins	PCOLCE2
Core matrisome	ECM Glycoproteins	POMZP3
Core matrisome	ECM Glycoproteins	POSTN
Core matrisome	ECM Glycoproteins	PXDN
Core matrisome	ECM Glycoproteins	PXDNL
Core matrisome	ECM Glycoproteins	RELN
Core matrisome	ECM Glycoproteins	RSPO1
Core matrisome	ECM Glycoproteins	RSPO2
Core matrisome	ECM Glycoproteins	RSPO3
Core matrisome	ECM Glycoproteins	RSPO4
Core matrisome	ECM Glycoproteins	SBSPON
Core matrisome	ECM Glycoproteins	SLIT1
Core matrisome	ECM Glycoproteins	SLIT2
Core matrisome	ECM Glycoproteins	SLIT3
Core matrisome	ECM Glycoproteins	SMOC1
Core matrisome	ECM Glycoproteins	SMOC2
Core matrisome	ECM Glycoproteins	SNED1
Core matrisome	ECM Glycoproteins	SPARC
Core matrisome	ECM Glycoproteins	SPARCL1
Core matrisome	ECM Glycoproteins	SPON1
Core matrisome	ECM Glycoproteins	SPON2
Core matrisome	ECM Glycoproteins	SPP1
Core matrisome	ECM Glycoproteins	SRPX
Core matrisome	ECM Glycoproteins	SRPX2
Core matrisome	ECM Glycoproteins	SSPO
Core matrisome	ECM Glycoproteins	SVEP1
Core matrisome	ECM Glycoproteins	TECTA
Core matrisome	ECM Glycoproteins	TECTB
Core matrisome	ECM Glycoproteins	TGFBI
Core matrisome	ECM Glycoproteins	THBS1
Core matrisome	ECM Glycoproteins	THBS2
Core matrisome	ECM Glycoproteins	THBS3
Core matrisome	ECM Glycoproteins	THBS4
Core matrisome	ECM Glycoproteins	THSD4
Core matrisome	ECM Glycoproteins	TINAG
Core matrisome	ECM Glycoproteins	TINAGL1
Core matrisome	ECM Glycoproteins	TNC
Core matrisome	ECM Glycoproteins	TNFAIP6
Core matrisome	ECM Glycoproteins	TNN
Core matrisome	ECM Glycoproteins	TNR
Core matrisome	ECM Glycoproteins	TNXB
Core matrisome	ECM Glycoproteins	TSKU
Core matrisome	ECM Glycoproteins	TSPEAR
Core matrisome	ECM Glycoproteins	VIT
Core matrisome	ECM Glycoproteins	VTN
Core matrisome	ECM Glycoproteins	VWA1
Core matrisome	ECM Glycoproteins	VWA2
Core matrisome	ECM Glycoproteins	VWA3A
Core matrisome	ECM Glycoproteins	VWA3B
Core matrisome	ECM Glycoproteins	VWA5A
Core matrisome	ECM Glycoproteins	VWA5B1
Core matrisome	ECM Glycoproteins	VWA5B2
Core matrisome	ECM Glycoproteins	VWA7
Core matrisome	ECM Glycoproteins	VWA9
Core matrisome	ECM Glycoproteins	VWCE
Core matrisome	ECM Glycoproteins	VWDE
Core matrisome	ECM Glycoproteins	VWF
Core matrisome	ECM Glycoproteins	WISP1
Core matrisome	ECM Glycoproteins	WISP2
Core matrisome	ECM Glycoproteins	WISP3
Core matrisome	ECM Glycoproteins	ZP1
Core matrisome	ECM Glycoproteins	ZP2
Core matrisome	ECM Glycoproteins	ZP3
Core matrisome	ECM Glycoproteins	ZP4
Core matrisome	ECM Glycoproteins	ZPLD1
Core matrisome	Collagens	COL10A1
Core matrisome	Collagens	COL11A1
Core matrisome	Collagens	COL11A2
Core matrisome	Collagens	COL12A1
Core matrisome	Collagens	COL13A1
Core matrisome	Collagens	COL14A1
Core matrisome	Collagens	COL15A1
Core matrisome	Collagens	COL16A1
Core matrisome	Collagens	COL17A1
Core matrisome	Collagens	COL18A1
Core matrisome	Collagens	COL19A1
Core matrisome	Collagens	COL1A1
Core matrisome	Collagens	COL1A2
Core matrisome	Collagens	COL20A1
Core matrisome	Collagens	COL21A1
Core matrisome	Collagens	COL22A1
Core matrisome	Collagens	COL23A1
Core matrisome	Collagens	COL24A1
Core matrisome	Collagens	COL25A1
Core matrisome	Collagens	COL26A1
Core matrisome	Collagens	COL27A1
Core matrisome	Collagens	COL28A1
Core matrisome	Collagens	COL2A1
Core matrisome	Collagens	COL3A1
Core matrisome	Collagens	COL4A1
Core matrisome	Collagens	COL4A2
Core matrisome	Collagens	COL4A3
Core matrisome	Collagens	COL4A4
Core matrisome	Collagens	COL4A5
Core matrisome	Collagens	COL4A6
Core matrisome	Collagens	COL5A1
Core matrisome	Collagens	COL5A2
Core matrisome	Collagens	COL5A3
Core matrisome	Collagens	COL6A1
Core matrisome	Collagens	COL6A2
Core matrisome	Collagens	COL6A3
Core matrisome	Collagens	COL6A5
Core matrisome	Collagens	COL6A6
Core matrisome	Collagens	COL7A1
Core matrisome	Collagens	COL8A1
Core matrisome	Collagens	COL8A2
Core matrisome	Collagens	COL9A1
Core matrisome	Collagens	COL9A2
Core matrisome	Collagens	COL9A3
Core matrisome	Proteoglycans	ACAN
Core matrisome	Proteoglycans	ASPN
Core matrisome	Proteoglycans	BCAN
Core matrisome	Proteoglycans	BGN
Core matrisome	Proteoglycans	CHAD
Core matrisome	Proteoglycans	CHADL
Core matrisome	Proteoglycans	DCN
Core matrisome	Proteoglycans	EPYC
Core matrisome	Proteoglycans	ESM1
Core matrisome	Proteoglycans	FMOD
Core matrisome	Proteoglycans	HAPLN1
Core matrisome	Proteoglycans	HAPLN2
Core matrisome	Proteoglycans	HAPLN3
Core matrisome	Proteoglycans	HAPLN4
Core matrisome	Proteoglycans	HSPG2
Core matrisome	Proteoglycans	IMPG1
Core matrisome	Proteoglycans	IMPG2
Core matrisome	Proteoglycans	KERA
Core matrisome	Proteoglycans	LUM
Core matrisome	Proteoglycans	NCAN
Core matrisome	Proteoglycans	NYX
Core matrisome	Proteoglycans	OGN
Core matrisome	Proteoglycans	OMD
Core matrisome	Proteoglycans	OPTC
Core matrisome	Proteoglycans	PODN
Core matrisome	Proteoglycans	PODNL1
Core matrisome	Proteoglycans	PRELP
Core matrisome	Proteoglycans	PRG2
Core matrisome	Proteoglycans	PRG3
Core matrisome	Proteoglycans	PRG4
Core matrisome	Proteoglycans	SPOCK1
Core matrisome	Proteoglycans	SPOCK2
Core matrisome	Proteoglycans	SPOCK3
Core matrisome	Proteoglycans	SRGN
Core matrisome	Proteoglycans	VCAN
Matrisome-associated	ECM-affiliated Proteins	ANXA1
Matrisome-associated	ECM-affiliated Proteins	ANXA10
Matrisome-associated	ECM-affiliated Proteins	ANXA11
Matrisome-associated	ECM-affiliated Proteins	ANXA13
Matrisome-associated	ECM-affiliated Proteins	ANXA2
Matrisome-associated	ECM-affiliated Proteins	ANXA3
Matrisome-associated	ECM-affiliated Proteins	ANXA4
Matrisome-associated	ECM-affiliated Proteins	ANXA5
Matrisome-associated	ECM-affiliated Proteins	ANXA6
Matrisome-associated	ECM-affiliated Proteins	ANXA7
Matrisome-associated	ECM-affiliated Proteins	ANXA8
Matrisome-associated	ECM-affiliated Proteins	ANXA8L1
Matrisome-associated	ECM-affiliated Proteins	ANXA9
Matrisome-associated	ECM-affiliated Proteins	C1QA
Matrisome-associated	ECM-affiliated Proteins	C1QB
Matrisome-associated	ECM-affiliated Proteins	C1QC
Matrisome-associated	ECM-affiliated Proteins	C1QL1
Matrisome-associated	ECM-affiliated Proteins	C1QL2
Matrisome-associated	ECM-affiliated Proteins	C1QL3
Matrisome-associated	ECM-affiliated Proteins	C1QL4
Matrisome-associated	ECM-affiliated Proteins	C1QTNF1
Matrisome-associated	ECM-affiliated Proteins	C1QTNF2
Matrisome-associated	ECM-affiliated Proteins	C1QTNF3
Matrisome-associated	ECM-affiliated Proteins	C1QTNF4
Matrisome-associated	ECM-affiliated Proteins	C1QTNF5
Matrisome-associated	ECM-affiliated Proteins	C1QTNF6
Matrisome-associated	ECM-affiliated Proteins	C1QTNF7
Matrisome-associated	ECM-affiliated Proteins	C1QTNF8
Matrisome-associated	ECM-affiliated Proteins	C1QTNF9
Matrisome-associated	ECM-affiliated Proteins	CD209
Matrisome-associated	ECM-affiliated Proteins	CLC
Matrisome-associated	ECM-affiliated Proteins	CLEC10A
Matrisome-associated	ECM-affiliated Proteins	CLEC11A
Matrisome-associated	ECM-affiliated Proteins	CLEC12A
Matrisome-associated	ECM-affiliated Proteins	CLEC12B
Matrisome-associated	ECM-affiliated Proteins	CLEC14A
Matrisome-associated	ECM-affiliated Proteins	CLEC17A
Matrisome-associated	ECM-affiliated Proteins	CLEC18A
Matrisome-associated	ECM-affiliated Proteins	CLEC18B
Matrisome-associated	ECM-affiliated Proteins	CLEC18C
Matrisome-associated	ECM-affiliated Proteins	CLEC19A
Matrisome-associated	ECM-affiliated Proteins	CLEC1A
Matrisome-associated	ECM-affiliated Proteins	CLEC1B
Matrisome-associated	ECM-affiliated Proteins	CLEC2A
Matrisome-associated	ECM-affiliated Proteins	CLEC2B
Matrisome-associated	ECM-affiliated Proteins	CLEC2D
Matrisome-associated	ECM-affiliated Proteins	CLEC2L
Matrisome-associated	ECM-affiliated Proteins	CLEC3A
Matrisome-associated	ECM-affiliated Proteins	CLEC3B
Matrisome-associated	ECM-affiliated Proteins	CLEC4A
Matrisome-associated	ECM-affiliated Proteins	CLEC4C
Matrisome-associated	ECM-affiliated Proteins	CLEC4D
Matrisome-associated	ECM-affiliated Proteins	CLEC4E
Matrisome-associated	ECM-affiliated Proteins	CLEC4F
Matrisome-associated	ECM-affiliated Proteins	CLEC4G
Matrisome-associated	ECM-affiliated Proteins	CLEC4M
Matrisome-associated	ECM-affiliated Proteins	CLEC5A
Matrisome-associated	ECM-affiliated Proteins	CLEC6A
Matrisome-associated	ECM-affiliated Proteins	CLEC7A
Matrisome-associated	ECM-affiliated Proteins	CLEC9A
Matrisome-associated	ECM-affiliated Proteins	COLEC10
Matrisome-associated	ECM-affiliated Proteins	COLEC11
Matrisome-associated	ECM-affiliated Proteins	COLEC12
Matrisome-associated	ECM-affiliated Proteins	CSPG4
Matrisome-associated	ECM-affiliated Proteins	CSPG5
Matrisome-associated	ECM-affiliated Proteins	ELFN1
Matrisome-associated	ECM-affiliated Proteins	ELFN2
Matrisome-associated	ECM-affiliated Proteins	EMCN
Matrisome-associated	ECM-affiliated Proteins	FCN1
Matrisome-associated	ECM-affiliated Proteins	FCN2
Matrisome-associated	ECM-affiliated Proteins	FCN3
Matrisome-associated	ECM-affiliated Proteins	FREM1
Matrisome-associated	ECM-affiliated Proteins	FREM2
Matrisome-associated	ECM-affiliated Proteins	FREM3
Matrisome-associated	ECM-affiliated Proteins	GPC1
Matrisome-associated	ECM-affiliated Proteins	GPC2
Matrisome-associated	ECM-affiliated Proteins	GPC3
Matrisome-associated	ECM-affiliated Proteins	GPC4
Matrisome-associated	ECM-affiliated Proteins	GPC5
Matrisome-associated	ECM-affiliated Proteins	GPC6
Matrisome-associated	ECM-affiliated Proteins	GREM1
Matrisome-associated	ECM-affiliated Proteins	GRIFIN
Matrisome-associated	ECM-affiliated Proteins	HPX
Matrisome-associated	ECM-affiliated Proteins	HSPC159
Matrisome-associated	ECM-affiliated Proteins	ITLN1
Matrisome-associated	ECM-affiliated Proteins	ITLN2
Matrisome-associated	ECM-affiliated Proteins	LGALS1
Matrisome-associated	ECM-affiliated Proteins	LGALS12
Matrisome-associated	ECM-affiliated Proteins	LGALS13
Matrisome-associated	ECM-affiliated Proteins	LGALS14
Matrisome-associated	ECM-affiliated Proteins	LGALS16
Matrisome-associated	ECM-affiliated Proteins	LGALS2
Matrisome-associated	ECM-affiliated Proteins	LGALS3
Matrisome-associated	ECM-affiliated Proteins	LGALS4
Matrisome-associated	ECM-affiliated Proteins	LGALS7
Matrisome-associated	ECM-affiliated Proteins	LGALS8
Matrisome-associated	ECM-affiliated Proteins	LGALS9
Matrisome-associated	ECM-affiliated Proteins	LGALS9B
Matrisome-associated	ECM-affiliated Proteins	LGALS9C
Matrisome-associated	ECM-affiliated Proteins	LMAN1
Matrisome-associated	ECM-affiliated Proteins	LMAN1L
Matrisome-associated	ECM-affiliated Proteins	MBL2
Matrisome-associated	ECM-affiliated Proteins	MUC1
Matrisome-associated	ECM-affiliated Proteins	MUC12
Matrisome-associated	ECM-affiliated Proteins	MUC13
Matrisome-associated	ECM-affiliated Proteins	MUC15
Matrisome-associated	ECM-affiliated Proteins	MUC16
Matrisome-associated	ECM-affiliated Proteins	MUC17
Matrisome-associated	ECM-affiliated Proteins	MUC19
Matrisome-associated	ECM-affiliated Proteins	MUC2
Matrisome-associated	ECM-affiliated Proteins	MUC20
Matrisome-associated	ECM-affiliated Proteins	MUC21
Matrisome-associated	ECM-affiliated Proteins	MUC22
Matrisome-associated	ECM-affiliated Proteins	MUC3A
Matrisome-associated	ECM-affiliated Proteins	MUC4
Matrisome-associated	ECM-affiliated Proteins	MUC5AC
Matrisome-associated	ECM-affiliated Proteins	MUC5B
Matrisome-associated	ECM-affiliated Proteins	MUC6
Matrisome-associated	ECM-affiliated Proteins	MUC7
Matrisome-associated	ECM-affiliated Proteins	MUC8
Matrisome-associated	ECM-affiliated Proteins	MUCL1
Matrisome-associated	ECM-affiliated Proteins	OVGP1
Matrisome-associated	ECM-affiliated Proteins	PARM1
Matrisome-associated	ECM-affiliated Proteins	PLXDC1
Matrisome-associated	ECM-affiliated Proteins	PLXDC2
Matrisome-associated	ECM-affiliated Proteins	PLXNA1
Matrisome-associated	ECM-affiliated Proteins	PLXNA2
Matrisome-associated	ECM-affiliated Proteins	PLXNA3
Matrisome-associated	ECM-affiliated Proteins	PLXNA4
Matrisome-associated	ECM-affiliated Proteins	PLXNB1
Matrisome-associated	ECM-affiliated Proteins	PLXNB2
Matrisome-associated	ECM-affiliated Proteins	PLXNB3
Matrisome-associated	ECM-affiliated Proteins	PLXNC1
Matrisome-associated	ECM-affiliated Proteins	PLXND1
Matrisome-associated	ECM-affiliated Proteins	PROL1
Matrisome-associated	ECM-affiliated Proteins	REG1A
Matrisome-associated	ECM-affiliated Proteins	REG1B
Matrisome-associated	ECM-affiliated Proteins	REG3A
Matrisome-associated	ECM-affiliated Proteins	REG3G
Matrisome-associated	ECM-affiliated Proteins	REG4
Matrisome-associated	ECM-affiliated Proteins	SDC1
Matrisome-associated	ECM-affiliated Proteins	SDC2
Matrisome-associated	ECM-affiliated Proteins	SDC3
Matrisome-associated	ECM-affiliated Proteins	SDC4
Matrisome-associated	ECM-affiliated Proteins	SEMA3A
Matrisome-associated	ECM-affiliated Proteins	SEMA3B
Matrisome-associated	ECM-affiliated Proteins	SEMA3C
Matrisome-associated	ECM-affiliated Proteins	SEMA3D
Matrisome-associated	ECM-affiliated Proteins	SEMA3E
Matrisome-associated	ECM-affiliated Proteins	SEMA3F
Matrisome-associated	ECM-affiliated Proteins	SEMA3G
Matrisome-associated	ECM-affiliated Proteins	SEMA4A
Matrisome-associated	ECM-affiliated Proteins	SEMA4B
Matrisome-associated	ECM-affiliated Proteins	SEMA4C
Matrisome-associated	ECM-affiliated Proteins	SEMA4D
Matrisome-associated	ECM-affiliated Proteins	SEMA4F
Matrisome-associated	ECM-affiliated Proteins	SEMA4G
Matrisome-associated	ECM-affiliated Proteins	SEMA5A
Matrisome-associated	ECM-affiliated Proteins	SEMA5B
Matrisome-associated	ECM-affiliated Proteins	SEMA6A
Matrisome-associated	ECM-affiliated Proteins	SEMA6B
Matrisome-associated	ECM-affiliated Proteins	SEMA6C
Matrisome-associated	ECM-affiliated Proteins	SEMA6D
Matrisome-associated	ECM-affiliated Proteins	SEMA7A
Matrisome-associated	ECM-affiliated Proteins	SFTA2
Matrisome-associated	ECM-affiliated Proteins	SFTA3
Matrisome-associated	ECM-affiliated Proteins	SFTPA1
Matrisome-associated	ECM-affiliated Proteins	SFTPA2
Matrisome-associated	ECM-affiliated Proteins	SFTPB
Matrisome-associated	ECM-affiliated Proteins	SFTPC
Matrisome-associated	ECM-affiliated Proteins	SFTPD
Matrisome-associated	ECM Regulators	A2M
Matrisome-associated	ECM Regulators	A2ML1
Matrisome-associated	ECM Regulators	ADAM10
Matrisome-associated	ECM Regulators	ADAM11
Matrisome-associated	ECM Regulators	ADAM12
Matrisome-associated	ECM Regulators	ADAM15
Matrisome-associated	ECM Regulators	ADAM17
Matrisome-associated	ECM Regulators	ADAM18
Matrisome-associated	ECM Regulators	ADAM19
Matrisome-associated	ECM Regulators	ADAM2
Matrisome-associated	ECM Regulators	ADAM20
Matrisome-associated	ECM Regulators	ADAM21
Matrisome-associated	ECM Regulators	ADAM22
Matrisome-associated	ECM Regulators	ADAM23
Matrisome-associated	ECM Regulators	ADAM28
Matrisome-associated	ECM Regulators	ADAM29
Matrisome-associated	ECM Regulators	ADAM30
Matrisome-associated	ECM Regulators	ADAM32
Matrisome-associated	ECM Regulators	ADAM33
Matrisome-associated	ECM Regulators	ADAM7
Matrisome-associated	ECM Regulators	ADAM8
Matrisome-associated	ECM Regulators	ADAM9
Matrisome-associated	ECM Regulators	ADAMDEC1
Matrisome-associated	ECM Regulators	ADAMTS1
Matrisome-associated	ECM Regulators	ADAMTS10
Matrisome-associated	ECM Regulators	ADAMTS12
Matrisome-associated	ECM Regulators	ADAMTS13
Matrisome-associated	ECM Regulators	ADAMTS14
Matrisome-associated	ECM Regulators	ADAMTS15
Matrisome-associated	ECM Regulators	ADAMTS16
Matrisome-associated	ECM Regulators	ADAMTS17
Matrisome-associated	ECM Regulators	ADAMTS18
Matrisome-associated	ECM Regulators	ADAMTS19
Matrisome-associated	ECM Regulators	ADAMTS2
Matrisome-associated	ECM Regulators	ADAMTS20
Matrisome-associated	ECM Regulators	ADAMTS3
Matrisome-associated	ECM Regulators	ADAMTS4
Matrisome-associated	ECM Regulators	ADAMTS5
Matrisome-associated	ECM Regulators	ADAMTS6
Matrisome-associated	ECM Regulators	ADAMTS7
Matrisome-associated	ECM Regulators	ADAMTS8
Matrisome-associated	ECM Regulators	ADAMTS9
Matrisome-associated	ECM Regulators	ADAMTSL1
Matrisome-associated	ECM Regulators	ADAMTSL2
Matrisome-associated	ECM Regulators	ADAMTSL3
Matrisome-associated	ECM Regulators	ADAMTSL4
Matrisome-associated	ECM Regulators	ADAMTSL5
Matrisome-associated	ECM Regulators	AGT
Matrisome-associated	ECM Regulators	AMBP
Matrisome-associated	ECM Regulators	ASTL
Matrisome-associated	ECM Regulators	BMP1
Matrisome-associated	ECM Regulators	C17orf58
Matrisome-associated	ECM Regulators	CD109
Matrisome-associated	ECM Regulators	CELA1
Matrisome-associated	ECM Regulators	CELA2A
Matrisome-associated	ECM Regulators	CELA2B
Matrisome-associated	ECM Regulators	CELA3A
Matrisome-associated	ECM Regulators	CELA3B
Matrisome-associated	ECM Regulators	CPAMD8
Matrisome-associated	ECM Regulators	CPN2
Matrisome-associated	ECM Regulators	CST1
Matrisome-associated	ECM Regulators	CST11
Matrisome-associated	ECM Regulators	CST2
Matrisome-associated	ECM Regulators	CST3
Matrisome-associated	ECM Regulators	CST4
Matrisome-associated	ECM Regulators	CST5
Matrisome-associated	ECM Regulators	CST6
Matrisome-associated	ECM Regulators	CST7
Matrisome-associated	ECM Regulators	CST8
Matrisome-associated	ECM Regulators	CST9
Matrisome-associated	ECM Regulators	CST9L
Matrisome-associated	ECM Regulators	CSTA
Matrisome-associated	ECM Regulators	CSTB
Matrisome-associated	ECM Regulators	CSTL1
Matrisome-associated	ECM Regulators	CTSA
Matrisome-associated	ECM Regulators	CTSB
Matrisome-associated	ECM Regulators	CTSC
Matrisome-associated	ECM Regulators	CTSD
Matrisome-associated	ECM Regulators	CTSE
Matrisome-associated	ECM Regulators	CTSF
Matrisome-associated	ECM Regulators	CTSG
Matrisome-associated	ECM Regulators	CTSH
Matrisome-associated	ECM Regulators	CTSK
Matrisome-associated	ECM Regulators	CTSL
Matrisome-associated	ECM Regulators	CTSO
Matrisome-associated	ECM Regulators	CTSS
Matrisome-associated	ECM Regulators	CTSV
Matrisome-associated	ECM Regulators	CTSW
Matrisome-associated	ECM Regulators	CTSZ
Matrisome-associated	ECM Regulators	EGLN1
Matrisome-associated	ECM Regulators	EGLN2
Matrisome-associated	ECM Regulators	EGLN3
Matrisome-associated	ECM Regulators	ELANE
Matrisome-associated	ECM Regulators	F10
Matrisome-associated	ECM Regulators	F12
Matrisome-associated	ECM Regulators	F13A1
Matrisome-associated	ECM Regulators	F13B
Matrisome-associated	ECM Regulators	F2
Matrisome-associated	ECM Regulators	F7
Matrisome-associated	ECM Regulators	F9
Matrisome-associated	ECM Regulators	FAM20A
Matrisome-associated	ECM Regulators	FAM20B
Matrisome-associated	ECM Regulators	FAM20C
Matrisome-associated	ECM Regulators	HABP2
Matrisome-associated	ECM Regulators	HMSD
Matrisome-associated	ECM Regulators	HPSE
Matrisome-associated	ECM Regulators	HPSE2
Matrisome-associated	ECM Regulators	HRG
Matrisome-associated	ECM Regulators	HTRA1
Matrisome-associated	ECM Regulators	HTRA3
Matrisome-associated	ECM Regulators	HTRA4
Matrisome-associated	ECM Regulators	HYAL1
Matrisome-associated	ECM Regulators	HYAL2
Matrisome-associated	ECM Regulators	HYAL3
Matrisome-associated	ECM Regulators	HYAL4
Matrisome-associated	ECM Regulators	ITIH1
Matrisome-associated	ECM Regulators	ITIH2
Matrisome-associated	ECM Regulators	ITIH3
Matrisome-associated	ECM Regulators	ITIH4
Matrisome-associated	ECM Regulators	ITIH5
Matrisome-associated	ECM Regulators	ITIH6
Matrisome-associated	ECM Regulators	KAZALD1
Matrisome-associated	ECM Regulators	KNG1
Matrisome-associated	ECM Regulators	KY
Matrisome-associated	ECM Regulators	LEPRE1
Matrisome-associated	ECM Regulators	LEPREL1
Matrisome-associated	ECM Regulators	LEPREL2
Matrisome-associated	ECM Regulators	LOX
Matrisome-associated	ECM Regulators	LOXL1
Matrisome-associated	ECM Regulators	LOXL2
Matrisome-associated	ECM Regulators	LOXL3
Matrisome-associated	ECM Regulators	LOXL4
Matrisome-associated	ECM Regulators	LPA
